country,longitude,latitude
Angola,18.3,-12.3
Antigua and Barbuda,-61.48,17.03
Azerbaijan,47.3,40.3
Argentina,-64.0,-34.0
Australia,133.0,-27.0
Austria,13.2,47.2
Bahamas,-76.0,24.15
Bahrain,50.33,26.0
Afghanistan,65.0,33.0
Albania,20.0,41.0
Antarctica,0.0,-90.0
Algeria,3.0,28.0
American Samoa,-170.0,-14.2
Andorra,1.3,42.3
Bangladesh,90.0,24.0
Armenia,45.0,40.0
Barbados,-59.32,13.1
Belgium,4.0,50.5
Bermuda,-64.45,32.2
Bhutan,90.3,27.3
Bolivia,-65.0,-17.0
Bosnia and Herzegovina,18.0,44.0
Botswana,24.0,-22.0
Bouvet Island,3.24,-54.26
Brazil,-55.0,-10.0
Belize,-88.45,17.15
British Indian Ocean Territory,71.3,-6.0
Solomon Islands,159.0,-8.0
Brunei Darussalam,114.4,4.3
Bulgaria,25.0,43.0
Myanmar,98.0,22.0
Burundi,30.0,-3.3
Belarus,28.0,53.0
Cambodia,105.0,13.0
Cameroon,12.0,6.0
Canada,-95.0,60.0
Cape Verde,-24.0,16.0
Cayman Islands,-80.3,19.3
Central African Republic,21.0,7.0
Sri Lanka,81.0,7.0
Chad,19.0,15.0
Chile,-71.0,-30.0
China,105.0,35.0
Taiwan,121.0,23.3
Christmas Island,105.4,-10.3
Cocos Islands,96.5,-12.3
Colombia,-72.0,4.0
Comores,44.15,-12.1
Mayotte,45.1,-12.5
Congo,25.0,0.0
Cook Islands,-159.46,-21.14
Costa Rica,-84.0,10.0
Croatia,15.3,45.1
Cuba,-80.0,21.3
Cyprus,33.0,35.0
Czech Republic,15.3,49.45
Benin,2.15,9.3
Denmark,10.0,56.0
Dominica,-61.2,15.25
Dominican Republic,-70.4,19.0
Ecuador,-77.3,-2.0
El Salvador,-88.55,13.5
Equatorial Guinea,10.0,2.0
Ethiopia,38.0,8.0
Eritrea,39.0,15.0
Estonia,26.0,59.0
Faroe Islands,-7.0,62.0
Falkland Islands,-59.0,-51.45
South Georgia and the South Sandwich Islands,-37.0,-54.3
Fiji,175.0,-18.0
Finland,26.0,64.0
France,2.0,46.0
French Guiana,-53.0,4.0
French Polynesia,-140.0,-15.0
Djibouti,43.0,11.3
Gabon,11.45,-1.0
Georgia,43.3,42.0
Gambia,-16.34,13.28
Germany,9.0,51.0
Ghana - Republic of Ghana,-2.0,8.0
Gibraltar,-5.21,36.08
Kiribati,173.0,1.25
Greece,22.0,39.0
Greenland,-40.0,72.0
Grenada,-61.4,12.07
